Name,Estado,Cidade,Segmento,Público Alvo,Modelo de Receita,Ano de Fundação,Tamanho,Mais Informação,Momento
Oxiot,SP,SÃO PAULO,Saúde e Bem-estar,B2B,SaaS,2014,6-10,sbase.me/s/oxiot,Tração
Venuxx,SP,SÃO PAULO,Logística e Mobilidade Urbana,B2B2C,Marketplace,2015,6-10,sbase.me/s/venuxx,Tração
Intelup,SP,PIRACICABA,Indústria,B2B,SaaS,2014,6-10,sbase.me/s/intelup,Tração
FitPay,SP,SÃO PAULO,Finanças,B2B,SaaS,2017,6-10,sbase.me/s/fitpay,Operação
Forlidar,SP,PIRACICABA,Agronegócio,B2B,SaaS,2016,6-10,sbase.me/s/forlidar,Tração
Guiaponto,SP,SÃO PAULO,Vendas e Marketing,B2B,SaaS,2012,6-10,sbase.me/s/guiaponto,Operação
dLieve Tecnologia Logística,SP,SÃO PAULO,Logística e Mobilidade Urbana,B2B,SaaS,2015,6-10,sbase.me/s/dlieve-tecnologia-logistica,Tração
BTime,SP,SÃO PAULO,Gestão,B2B,SaaS,2013,6-10,sbase.me/s/btime,Tração
Cennarium,SP,SÃO PAULO,Entretenimento,B2C,SaaS,2013,6-10,sbase.me/s/cennarium,Tração
Let´s Work,SP,SÃO PAULO,Gestão,B2B,SaaS,2016,6-10,sbase.me/s/let´s-work,Tração
DKRO - Gestão Eficaz e Tecnologia,SP,SÃO PAULO,Gestão,B2B,SaaS,1999,6-10,sbase.me/s/dkro-gestao-eficaz-e-tecnologia,Operação
Agência Nota Registrada,SP,SÃO PAULO,Finanças,B2B,SaaS,2015,6-10,sbase.me/s/agencia-nota-registrada,Tração
ARBACHE INNOVATIONS,SP,SÃO PAULO,Gestão,B2B,SaaS,2006,6-10,sbase.me/s/arbache-innovations,Tração
Aya Tech,SP,SÃO PAULO,Saúde e Bem-estar,B2B,Hardware,2014,6-10,sbase.me/s/aya-tech,Tração
Asel Tech,SP,SÃO CARLOS,Energia,B2B,Hardware,1999,6-10,sbase.me/s/asel-tech,Tração
Kron Estratégia,SP,SÃO PAULO,Gestão,B2S,Outros,2018,6-10,sbase.me/s/kron-estrategia,Tração
Engaja.Me,SP,MARÍLIA,Vendas e Marketing,B2B,SaaS,2018,6-10,sbase.me/s/engajame,Operação
Check Car,SP,SÃO PAULO,Gestão,B2B,Outros,2019,1-5,sbase.me/s/check-car,Ideação
OPP Mobile Service,SP,SÃO PAULO,Mobile,B2B2C,Consumer,2018,6-10,sbase.me/s/opp-mobile-service,Operação
Câmbio Store,SP,SÃO PAULO,Finanças,B2B2C,Marketplace,2015,6-10,sbase.me/s/cambio-store,Operação
ASSINE INTERNET,SP,SÃO JOSÉ DOS CAMPOS,TIC e Telecom,B2B2C,Marketplace,2017,6-10,sbase.me/s/assine-internet,Operação
